date,day,number,word,result,start_word,mode
6/11/2022,Saturday,357,goose,4,suite,hard
6/12/2022,Sunday,358,float,3,suite,hard
6/13/2022,Monday,359,donor,5,suite,hard
6/14/2022,Tuesday,360,atone,3,suite,hard
6/15/2022,Wednesday,361,primo,4,suite,hard
6/16/2022,Thursday,362,apron,3,suite,hard
6/17/2022,Friday,363,blown,5,solar,hard
6/18/2022,Saturday,364,cacao,5,arise,hard
6/19/2022,Sunday,365,loser,3,suite,hard
6/20/2022,Monday,366,input,3,suite,hard
6/21/2022,Tuesday,367,gloat,5,arise,hard
6/22/2022,Wednesday,368,awful,3,arise,hard
6/23/2022,Thursday,369,brink,5,stare,hard
6/24/2022,Friday,370,smite,3,suite,hard
6/25/2022,Saturday,371,beady,4,stare,hard
6/26/2022,Sunday,372,rusty,6,suite,hard
